target	family	off_targets	target_self_corr	pred_off_corr_mean	pred_off_corr_max	exp_off_corr_mean	exp_off_corr_max	predicted_separability	exp_oracle_margin	tfscope_transfer_margin	case
FOXR2	Forkhead	FOXB1;FOXN2;FOXA1;FOXA3;FOXL1;FOXC1;FOXA2;FOXC2	0.574	0.716	0.796	0.688	0.838	2.283	3.9	-1.646	easy
FOXL2	Forkhead	FOXP2;FOXQ1;FOXO4;FOXC1;FOXK2;FOXO3;FOXN3;FOXG1	0.892	0.983	0.993	0.916	0.983	0.468	0.802	-0.814	hard
FOXH1	Forkhead	FOXN3;FOXO3;FOXG1;FOXK2;FOXA2;FOXO4;FOXP2;FOXQ1	0.543	0.982	0.992	0.567	0.664	0.835	3.76	-0.114	hard
FOXN2	Forkhead	FOXN3;FOXO4;FOXO3;FOXG1;FOXA2;FOXL1;FOXK2;FOXC1	0.355	0.951	0.956	0.313	0.425	1.485	7.501	-1.486	hard
FOXD3	Forkhead	Foxd3;FOXD2;FOXD1;FOXP2;FOXM1;FOXA1;FOXJ1;FOXF2	0.899	0.964	0.999	0.86	0.943	0.085	0.596	-0.827	hard
NR1D1	Nuclear_Receptor	PPARG::RXRA;ESR1;THRB;RXRA;RXRA::VDR;NR1H2::RXRA;HNF4A;NR4A1	0.976	0.949	0.995	0.932	0.991	2.138	4.202	0.393	hard
PPARG::RXRA	Nuclear_Receptor	NR4A1;NR1D1;NR1H2::RXRA;RXRA;ESR1;HNF4A;THRB;RXRA::VDR	0.998	0.954	0.997	0.958	0.989	-0.138	2.243	-0.117	hard
ESR1	Nuclear_Receptor	NR1D1;RXRA;PPARG::RXRA;NR1H2::RXRA;HNF4A;NR4A1;THRB;NR5A2	0.92	0.944	0.992	0.959	0.991	-1.419	2.536	-1.472	hard
VDR	Nuclear_Receptor	EcR::usp;HNF4A;RXRA;ESR1;PGR;PPARG::RXRA;THRB;NR1H2::RXRA	0.997	0.757	0.948	0.755	0.913	3.829	3.133	2.136	moderate
EcR::usp	Nuclear_Receptor	VDR;RXRA;NR1H2::RXRA;PPARG::RXRA;HNF4A;NR4A1;THRB;NR1D1	0.979	0.867	0.948	0.842	0.913	1.048	3.945	-0.59	moderate
NR5A2	Nuclear_Receptor	NR1H2::RXRA;RXRA::VDR;PPARG::RXRA;ESR1;THRB;RXRA;NR1D1;EcR::usp	0.577	0.768	0.809	0.824	0.943	3.866	3.863	-0.39	easy
PGR	Nuclear_Receptor	NR3C2;NR3C1;VDR;HNF4A;EcR::usp;THRB;RXRA;NR4A1	0.982	0.698	0.909	0.668	0.958	0.112	0.482	-0.204	moderate
NR5A1	Nuclear_Receptor	NR4A2;RXRA;NR4A1;PPARG::RXRA;NR1H2::RXRA;HNF4A;NR3C1;NR5A2	0.676	0.637	0.686	0.811	0.994	2.893	1.061	-1.335	easy
THRB	Nuclear_Receptor	NR1D1;ESR1;RXRA;NR1H2::RXRA;PPARG::RXRA;HNF4A;NR4A1;EcR::usp	0.983	0.91	0.986	0.955	0.993	-1.194	4.36	-1.54	hard
HNF4A	Nuclear_Receptor	NR4A1;NR1H2::RXRA;ESR1;PPARG::RXRA;NR1D1;THRB;NR3C1;EcR::usp	0.993	0.926	0.997	0.877	0.976	2.37	2.699	-0.339	hard
RXRA::VDR	Nuclear_Receptor	NR1D1;RXRA;PPARG::RXRA;NR1H2::RXRA;HNF4A;NR4A1;THRB;NR5A2	0.933	0.867	0.957	0.882	0.968	1.328	2.741	0.022	hard
NR3C2	Nuclear_Receptor	PGR;NR3C1;VDR;ESR1;NR1D1;RXRA;THRB;PPARG::RXRA	0.974	0.651	0.909	0.658	0.932	0.844	1.683	0.25	moderate
NR3C1	Nuclear_Receptor	HNF4A;NR3C2;PGR;THRB;RXRA::VDR;RXRA;NR1D1;NR4A1	0.734	0.714	0.888	0.678	0.958	1.397	0.776	-0.701	moderate
NR4A2	Nuclear_Receptor	NR5A1;NR5A2;NR4A1;PPARG::RXRA;HNF4A;NR1H2::RXRA;RXRA;RXRA::VDR	0.462	0.572	0.686	0.94	0.994	2.378	1.29	-1.239	easy
NR4A1	Nuclear_Receptor	PPARG::RXRA;HNF4A;NR1H2::RXRA;RXRA;ESR1;NR1D1;THRB;EcR::usp	0.991	0.944	0.997	0.94	0.992	3.161	2.9	0.788	hard
NR1H2::RXRA	Nuclear_Receptor	NR4A1;RXRA;PPARG::RXRA;HNF4A;ESR1;THRB;NR1D1;RXRA::VDR	0.999	0.954	0.997	0.952	0.993	0.578	1.269	0.64	hard
RXRA	Nuclear_Receptor	NR1H2::RXRA;ESR1;PPARG::RXRA;NR4A1;NR1D1;THRB;RXRA::VDR;EcR::usp	0.95	0.946	0.992	0.926	0.967	0.291	2.044	-0.917	hard
